code;name;city;state;type;uf_code;capital;region
SBIZ;Prefeito Renato Moreira;Imperatriz;Maranhão;Público;21;TRUE;Nordeste
SBBE;Aeroporto Internacional de Bélem;Belém;Pará;Público;15;TRUE;Norte
SBJP;Internacional Presidente Castro Pinto;João Pessoa;Paraíba;Público;25;TRUE;Nordeste
SBGL;Galeão - Antônio Carlos Jobim;Rio de Janeiro;Rio de Janeiro;Público;33;TRUE;Sudeste
SBCF;Tancredo Neves;Belo Horizonte;Minas Gerais;Público;31;TRUE;Sudeste
SBPA;Salgado Filho;Porto Alegre;Rio Grande do Sul;Público;43;TRUE;Sul
SBSV;Deputado Luis Eduardo Magalhães-Intl;Salvador;Bahia;Público;29;TRUE;Nordeste
SBGR;Guarulhos - Governador André Franco Montoro;Guarulhos;São Paulo;Público;35;TRUE;Sudeste
SBVT;Eurico de Aguiar Salles;Vitória;Espírito Santo;Público;32;TRUE;Sudeste
SBCG;Campo Grande Internacional;Campo Grande;Mato Grosso do Sul;Público;50;TRUE;Centro Oeste
SBFL;Hercílio Luz;Florianópolis;Santa Catarina;Público;42;TRUE;Sul
SBSG;Aeroporto Internacional do Rio Grande do Norte - Governador Aluizio Alves;Natal;Rio Grande do Norte;Público;24;TRUE;Nordeste
SBSP;Congonhas;São Paulo;São Paulo;Público;35;TRUE;Sudeste
SBCY;Marechal Rondon;Cuiabá;Mato Grosso;Público;51;TRUE;Centro Oeste
SBRJ;Santos Dumont;Rio de Janeiro;Rio de Janeiro;Público;33;TRUE;Sudeste
SBEG;Eduardo Gomes;Manaus;Amazonas;Público;13;TRUE;Norte
SBCT;Aeroporto Internacional Afonso Pena;Curitiba;Paraná;Público;41;TRUE;Sul
SBMQ;Alberto Alcolumbre Internacional;Macapá;Amapá;Público;16;TRUE;Norte
SBFZ;Pinto Martins;Fortaleza;Ceará;Público;23;TRUE;Nordeste
SBGO;Santa Genoveva;Goiânia;Goiás;Público;52;TRUE;Centro Oeste
SBPB;Aeroporto Internacional de Parnaíba / Prefeito Doutor João Silva Filho;Parnaíba;Piauí;Público;22;TRUE;Nordeste
SBBR;Presidente Juscelino Kubitschek;Brasília;Distrito Federal;Público;53;TRUE;Centro Oeste
SBPJ;Palmas / Brigadeiro Lysias Rodrigues;Palmas;Tocantins;Público;17;TRUE;Norte
SBRF;Guararapes - Gilberto Freyre Internacional;Recife;Pernambuco;Público;26;TRUE;Nordeste
SBAR;Santa Maria;Aracaju;Sergipe;Público;28;TRUE;Nordeste
SBMO;Zumbi dos Palmares;Maceió;Alagoas;Público;27;TRUE;Nordeste
SBBV;Aeroporto Internacional de Boa Vista;Boa Vista;Roraima;Público;14;TRUE;Norte
SBRB;Plácido de Castro;Rio Branco;Acre;Público;12;FALSE;Norte
SNGA;Guarapari;Guarapari;Espírito Santo;Público;32;FALSE;Sudeste
SBPC;Embaixador Walther Moreira Salles;Poços de Caldas;Minas Gerais;Público;31;FALSE;Sudeste
SSCD;Chapadão do Sul;Chapadão do Sul;Mato Grosso do Sul;Público;50;FALSE;Centro Oeste
SBKG;Presidente João Suassuna;Campina Grande;Paraíba;Público;25;FALSE;Nordeste
SBMG;Silvio Name Júnior;Maringá;Paraná;Público;41;FALSE;Sul
SBCA;Coronel Adalberto Mendes da Silva;Cascavel;Paraná;Público;41;FALSE;Sul
