IPCA;month;year;Index
1,25;12;2021;1,0125
0,95;11;2021;1,0095
0,73;10;2021;1,0073
1,16;9;2021;1,0116
0,87;8;2021;1,020401
0,96;7;2021;1,030197
0,53;6;2021;1,035657
0,83;5;2021;1,044253
0,31;4;2021;1,04749
0,93;3;2021;1,057232
0,86;2;2021;1,066324
0,25;1;2021;1,06899
1,35;12;2020;1,083421
0,89;11;2020;1,093063
0,86;10;2020;1,102464
0,64;9;2020;1,10952
0,24;8;2020;1,112182
0,36;7;2020;1,116186
0,26;6;2020;1,119088
-0,38;5;2020;1,114836
-0,31;4;2020;1,11138
0,07;3;2020;1,112158
0,25;2;2020;1,114938
0,21;1;2020;1,11728
1,15;12;2019;1,130128
0,51;11;2019;1,135892
0,1;10;2019;1,137028
-0,04;9;2019;1,136573
0,11;8;2019;1,137823
0,19;7;2019;1,139985
0,01;6;2019;1,140099
0,13;5;2019;1,141581
0,57;4;2019;1,148088
0,75;3;2019;1,156699
0,43;2;2019;1,161673
0,32;1;2019;1,16539
0,15;12;2018;1,167138
-0,21;11;2018;1,164687
0,45;10;2018;1,169928
0,48;9;2018;1,175544
-0,09;8;2018;1,174486
0,33;7;2018;1,178362
1,26;6;2018;1,193209
0,4;5;2018;1,197982
0,22;4;2018;1,200617
0,09;3;2018;1,201698
0,32;2;2018;1,205543
0,29;1;2018;1,209039
0,44;12;2017;1,214359
0,28;11;2017;1,217759
0,42;10;2017;1,222874
0,16;9;2017;1,224831
0,19;8;2017;1,227158
0,24;7;2017;1,230103
-0,23;6;2017;1,227274
0,31;5;2017;1,231078
0,14;4;2017;1,232802
0,25;3;2017;1,235884
0,33;2;2017;1,239962
0,38;1;2017;1,244674
0,3;12;2016;1,248408
0,18;11;2016;1,250655
0,26;10;2016;1,253907
0,08;9;2016;1,25491
0,44;8;2016;1,260432
0,52;7;2016;1,266986
0,35;6;2016;1,27142
0,78;5;2016;1,281337
0,61;4;2016;1,289154
0,43;3;2016;1,294697
0,9;2;2016;1,306349
1,27;1;2016;1,32294
0,96;12;2015;1,33564
1,01;11;2015;1,34913
0,82;10;2015;1,360193
0,54;9;2015;1,367538
0,22;8;2015;1,370547
0,62;7;2015;1,379044
0,79;6;2015;1,389938
0,74;5;2015;1,400224
0,71;4;2015;1,410166
1,32;3;2015;1,42878
1,22;2;2015;1,446211
1,24;1;2015;1,464144
0,78;12;2014;1,475564
0,51;11;2014;1,48309
0,42;10;2014;1,489319
0,57;9;2014;1,497808
0,25;8;2014;1,501552
0,01;7;2014;1,501702
0,4;6;2014;1,507709
0,46;5;2014;1,514645
0,67;4;2014;1,524793
0,92;3;2014;1,538821
0,69;2;2014;1,549439
0,55;1;2014;1,557961
0,92;12;2013;1,572294
0,54;11;2013;1,580784
0,57;10;2013;1,589795
0,35;9;2013;1,595359
0,24;8;2013;1,599188
0,03;7;2013;1,599668
0,26;6;2013;1,603827
0,37;5;2013;1,609761
0,55;4;2013;1,618615
0,47;3;2013;1,626222
0,6;2;2013;1,635979
0,86;1;2013;1,650049
0,79;12;2012;1,663084
0,6;11;2012;1,673063
0,59;10;2012;1,682934
0,57;9;2012;1,692527
0,41;8;2012;1,699466
0,43;7;2012;1,706774
0,08;6;2012;1,708139
0,36;5;2012;1,714288
0,64;4;2012;1,72526
0,21;3;2012;1,728883
0,45;2;2012;1,736663
0,56;1;2012;1,746388
0,5;12;2011;1,75512
0,52;11;2011;1,764247
0,43;10;2011;1,771833
0,53;9;2011;1,781224
0,37;8;2011;1,787814
0,16;7;2011;1,790675
0,15;6;2011;1,793361
0,47;5;2011;1,801789
0,77;4;2011;1,815663
0,79;3;2011;1,830007
0,8;2;2011;1,844647
0,83;1;2011;1,859958
0,63;12;2010;1,871675
0,83;11;2010;1,88721
0,75;10;2010;1,901364
0,45;9;2010;1,90992
0,04;8;2010;1,910684
0,01;7;2010;1,910875
0;6;2010;1,910875
0,43;5;2010;1,919092
0,57;4;2010;1,930031
0,52;3;2010;1,940067
0,78;2;2010;1,9552
0,75;1;2010;1,969864
